bay_id,rd_seg_dsc,lat,lon
6268,Arden Street between Leveson Street and Errol Street,-37.8192011,144.9484129
2019,Palmerston Street between Rathdowne Street and Drummond Street,-37.81217344,144.9589106
1831,Grant Street between St Kilda Road and Wells Street,-37.81084625,144.970883
2532,Chetwynd Street between Victoria Street and Queensberry Street,-37.81317059,144.9592168
4330,Domain Street between Toorak Road and Bromby Street,-37.80922969,144.9562231
2715,Drummond Street between Pelham Street and Grattan Street,-37.80777201,144.9600844
3690,Cade Way between Garrard Street and Garrard Street,-37.80499243,144.9570392
2537,Drummond Street between Pelham Street and Grattan Street,-37.81321427,144.9590673
3680,The Crescent between Mercantile Parade and Gatehouse Drive,-37.80495466,144.9484591
582,Swanston Street between Elgin Street and College Crescent,-37.8146378,144.9746799
2754,Station Street between Palmerston Street and Kay Street,-37.80735089,144.965922
4355,McNamara Mews between Bateman Road and The Crescent,-37.80844946,144.9526373
712,Rathdowne Street between Faraday Street and Elgin Street,-37.81071164,144.9700653
5232,Intersection of Morrah Street and Royal Parade,-37.81181041,144.9517789
5563,Moubray Street between St Kilda Road and Punt Road,-37.81210207,144.9831448
5376,George Street between Powlett Street and Clarendon Street,-37.80986458,144.9729877
3418,Palmerston Street between Drummond Street and Lygon Street,-37.80776283,144.9661251
4933,Domain Street between Bromby Street and Domain Road,-37.8296594,144.9679892
1852,Drummond Street between Victoria Street and Queensberry Street,-37.81429655,144.9592674
3944,,-37.80533677,144.9537419
4564,Dryburgh Street between Victoria Street and Queensberry Street,-37.83006773,144.9691777
2556,Lygon Street between Lytton Street and Princes Street,-37.81342131,144.9583577
6052,Sauvage Street between Strickland Road and Park Street,-37.82114137,144.946681
3032,Lorimer Street between Westgate Freeway and Hartley Street,-37.80312154,144.9571284
3096,Harbour Esplanade between Bourke Street and La Trobe Street,-37.80507851,144.9573372
5161,Munster Terrace between Queensberry Street and Arden Street,-37.81550243,144.9609294
1900,,-37.81656048,144.9572759
6170,Haines Street between Curzon Street and Abbotsford Street,-37.81938964,144.9450293
3627,Royal Parade between Bayles Street and Morrah Street,-37.80562911,144.9545572
